Dimension,Property,Correlation,P_Value,Abs_Correlation
3278,is_prime,0.20042513805945988,1.6047415962331204e-10,0.20042513805945988
1266,is_prime,-0.20037300148460796,1.6226729745814663e-10,0.20037300148460796
1690,is_prime,-0.1947982443728601,5.232843609596389e-10,0.1947982443728601
1961,is_prime,-0.18787137306487361,2.1378454069307654e-09,0.18787137306487361
112,is_prime,-0.18251947185090622,6.119711517018492e-09,0.18251947185090622
581,is_prime,0.17867225456372304,1.2787326896582868e-08,0.17867225456372304
1731,is_prime,-0.1773932246920702,1.6279962265335637e-08,0.1773932246920702
3668,is_prime,-0.17632894007689529,1.9876471199297297e-08,0.17632894007689529
3384,is_prime,-0.17317589851417992,3.5650907467418614e-08,0.17317589851417992
3944,is_prime,-0.17132196247818826,5.0016531965760765e-08,0.17132196247818826
1601,is_prime,-0.16966349993655477,6.75009027540592e-08,0.16966349993655477
3266,is_prime,0.1692815096826455,7.229661145839591e-08,0.1692815096826455
3279,is_prime,-0.1687742077187977,7.917739188835066e-08,0.1687742077187977
1186,is_prime,-0.16653037832220532,1.179833609942686e-07,0.16653037832220532
3446,is_prime,0.16617189662878448,1.256842906333683e-07,0.16617189662878448
2210,is_prime,0.1640442322793835,1.824117923941262e-07,0.1640442322793835
2086,is_prime,0.163992829540203,1.8404990395087564e-07,0.163992829540203
629,is_prime,-0.1633740946135201,2.049164510396802e-07,0.1633740946135201
3797,is_prime,0.16244479781047017,2.406027253682245e-07,0.16244479781047017
1075,is_prime,0.1622376696696004,2.4933738223822263e-07,0.1622376696696004
2270,is_prime,0.16198487153351782,2.604128928375493e-07,0.16198487153351782
1404,is_prime,0.15944062648345697,4.0179884217564985e-07,0.15944062648345697
958,is_prime,-0.15707255077089066,5.979610198928651e-07,0.15707255077089066
862,is_prime,-0.15324849907957888,1.12238736809336e-06,0.15324849907957888
2538,is_prime,0.15190813440311718,1.3945572463060236e-06,0.15190813440311718
3507,is_prime,0.15147100660382837,1.4962813049334643e-06,0.15147100660382837
2660,is_prime,0.15093756761670715,1.6300870501896747e-06,0.15093756761670715
2546,is_prime,-0.15015152960112005,1.848373413618376e-06,0.15015152960112005
1421,is_prime,0.14625603885406935,3.413433719708992e-06,0.14625603885406935
491,is_prime,0.146000651043576,3.5515659381715296e-06,0.146000651043576
1659,is_prime,-0.14596705280785938,3.5701317773030564e-06,0.14596705280785938
1134,is_prime,-0.14587465926759596,3.6216672425109323e-06,0.14587465926759596
3917,is_prime,0.14419761733418812,4.6905641780545065e-06,0.14419761733418812
249,is_prime,-0.14199809607849442,6.555973076597783e-06,0.14199809607849442
258,is_prime,-0.1412272589814772,7.363589726815492e-06,0.1412272589814772
327,is_prime,0.1410648298464824,7.5454858272448895e-06,0.1410648298464824
1419,is_prime,0.1405854493837811,8.107669564512643e-06,0.1405854493837811
3878,is_prime,-0.1396186866136096,9.365374752670447e-06,0.1396186866136096
1806,is_prime,0.13954879807307496,9.463170692076529e-06,0.13954879807307496
3709,is_prime,-0.13888861283203685,1.0436312020737389e-05,0.13888861283203685
798,is_prime,0.13836777303162423,1.12706473647727e-05,0.13836777303162423
1519,is_prime,-0.13827868230264323,1.1419584746594833e-05,0.13827868230264323
479,is_prime,-0.1381956731216025,1.1560042045723133e-05,0.1381956731216025
4074,is_prime,0.1381091343885737,1.1708223934177795e-05,0.1381091343885737
1241,is_prime,-0.13804384134166883,1.182122278727381e-05,0.13804384134166883
1769,is_prime,-0.13786729134960252,1.2131995597410584e-05,0.13786729134960252
2580,is_prime,-0.13762154378087924,1.2577558023357541e-05,0.13762154378087924
1309,is_prime,-0.1371845097764488,1.340871972438606e-05,0.1371845097764488
3019,is_prime,-0.1365025308499961,1.4811060216832313e-05,0.1365025308499961
4066,is_prime,-0.13567068271704427,1.6710940970848648e-05,0.13567068271704427
101,is_prime,0.13563353228889558,1.68009813539571e-05,0.13563353228889558
3284,is_prime,-0.13556937111359332,1.6957575018414347e-05,0.13556937111359332
680,is_prime,-0.1354618122637985,1.7223206312398132e-05,0.1354618122637985
170,is_prime,0.13502916738015053,1.8332211452151904e-05,0.13502916738015053
2382,is_prime,0.13483285356441058,1.885752990348503e-05,0.13483285356441058
978,is_prime,-0.13476256635065764,1.904906912393553e-05,0.13476256635065764
2911,is_prime,0.13470224105620232,1.921493527913447e-05,0.13470224105620232
2716,is_prime,-0.1344250883901609,1.9994783337673192e-05,0.1344250883901609
3888,is_prime,0.134033562599878,2.1147889891132516e-05,0.134033562599878
1551,is_prime,0.13394937150461864,2.1403972418490414e-05,0.13394937150461864
2076,is_prime,0.13346800248197416,2.2925687715914792e-05,0.13346800248197416
2671,is_prime,0.13300569220019165,2.4483511229094274e-05,0.13300569220019165
225,is_prime,-0.1323784281243072,2.675854155067529e-05,0.1323784281243072
2990,is_prime,-0.13210851230702936,2.7798053082511647e-05,0.13210851230702936
1133,is_prime,0.13198465956305278,2.8287767577908378e-05,0.13198465956305278
3297,is_prime,0.1317684452374534,2.9162366666723574e-05,0.1317684452374534
1259,is_prime,-0.13175872768123922,2.9202271234573676e-05,0.13175872768123922
3025,is_prime,-0.13100748376024351,3.244904937365513e-05,0.13100748376024351
3310,is_prime,0.13081419050304807,3.3338228341373436e-05,0.13081419050304807
677,is_prime,0.1301751609896845,3.64452254247236e-05,0.1301751609896845
1527,is_prime,0.12993929127495824,3.76599107261145e-05,0.12993929127495824
3046,is_prime,-0.1298427438193797,3.816809798669211e-05,0.1298427438193797
3477,is_prime,-0.12953779722490216,3.981624023922257e-05,0.12953779722490216
3172,is_prime,0.12944340055151182,4.033994527004342e-05,0.12944340055151182
4044,is_prime,-0.12886983814473704,4.3665042282101875e-05,0.12886983814473704
164,is_prime,-0.12871900121661073,4.458166568741783e-05,0.12871900121661073
89,is_prime,-0.12781510219131847,5.046797501292058e-05,0.12781510219131847
2968,is_prime,-0.127209859979282,5.4812663632504625e-05,0.127209859979282
3895,is_prime,0.1271750969640018,5.50726570560759e-05,0.1271750969640018
3510,is_prime,-0.12710053541300287,5.5634244339839556e-05,0.12710053541300287
2192,is_prime,-0.12621607502739496,6.272264862715295e-05,0.12621607502739496
3540,is_prime,-0.12615237086442202,6.326485818615663e-05,0.12615237086442202
3969,is_prime,-0.12607321380641037,6.394476650185116e-05,0.12607321380641037
2557,is_prime,-0.12602249114408254,6.438406585115538e-05,0.12602249114408254
2385,is_prime,0.12593617035158977,6.513823807924792e-05,0.12593617035158977
1984,is_prime,-0.1255626076674013,6.849928958796974e-05,0.1255626076674013
3741,is_prime,-0.12552719001097826,6.882631824964434e-05,0.12552719001097826
1292,is_prime,-0.12533070772348306,7.066748903561912e-05,0.12533070772348306
2565,is_prime,0.12531386767040634,7.08274376639864e-05,0.12531386767040634
2997,is_prime,0.1250914815678495,7.297201835658634e-05,0.1250914815678495
3576,is_prime,0.12469700417571015,7.692781311627268e-05,0.12469700417571015
2023,is_prime,-0.1245954641619397,7.797833805349221e-05,0.1245954641619397
1855,is_prime,-0.12451193210016498,7.885269241544656e-05,0.12451193210016498
1655,is_prime,-0.12409220715541558,8.338793417415323e-05,0.12409220715541558
1726,is_prime,0.12403116189015559,8.406769522292225e-05,0.12403116189015559
3575,is_prime,-0.12341426474983028,9.123680976957955e-05,0.12341426474983028
3478,is_prime,0.12326554748289678,9.304936543249768e-05,0.12326554748289678
3010,is_prime,0.1229447518135337,9.70754713356497e-05,0.1229447518135337
2887,is_prime,0.1228508955524369,9.828410751724293e-05,0.1228508955524369
2665,is_prime,-0.12280880316085674,9.883074828478707e-05,0.12280880316085674
3630,is_prime,0.12276264123289965,9.943353328767641e-05,0.12276264123289965
